songID,num_Q1,num_Q2,num_Q3,num_Q4,DominantQ,,
e8NQ2NH0nc8,2,0,0,0,1,2,
HQ8ISDX6PiI,0,0,0,2,4,2,
ZTrEoB8T9YA,0,3,0,0,2,3,
3N2G21U7guk,3,0,0,4,4,7,
_8v0MFBZoco,2,0,0,0,1,2,
WpZ1rWHOCAQ,3,0,0,0,1,3,
iwxwLEvqeD8,0,1,1,0,2,2,
f2b4kpdw7_c,0,0,0,2,4,2,
g-yM0Lsp4lc,0,0,2,0,3,2,
KRlAez34QfE,0,0,0,3,4,3,
SQDuF0qxGQw,3,0,0,0,1,3,
ldCQ6N9G6Mk,1,0,3,3,3,7,
x5ibvz38jOs,0,2,0,0,2,2,
Tc684nD8CEA,0,0,0,5,4,5,
0lEL_XHyhuU,0,0,4,0,3,4,
77z6Ep3aOmg,0,0,2,0,3,2,
0J7lX-Tcx-w,0,3,0,0,2,3,
GAvPwG2wYZM,0,0,0,2,4,2,
#NAME?,0,0,0,3,4,3,
snfsc7pEzlk,0,3,0,0,2,3,
7gifuoofgpk,0,0,0,2,4,2,
5J_zI7QE9W8,0,0,0,3,4,3,
yFw_kO7DF-Y,3,0,0,0,1,3,
IH2KrGjKXw0,1,0,3,0,3,4,
7yW9c7t8Hq0,3,0,0,1,1,4,
nGkpcWNAxDU,0,0,0,3,4,3,
ItGNJM6skM4,0,2,1,0,2,3,
6wFJhmhNeeg,1,0,0,0,1,1,
V3Y9L4UOcpk,1,0,0,2,4,3,
TonQX8XbvX8,0,0,4,0,3,4,
bbU31JLtlug,0,0,2,0,3,2,
UuLTvhERcnk,0,0,2,0,3,2,
7JIdJLkJ0S4,0,0,4,0,3,4,
FH28sPhm9Dc,0,0,2,0,3,2,
r_sD61KeUQU,0,0,0,1,4,1,
DvIH5yUrboc,0,0,0,3,4,3,
_S991V8N-8s,0,1,1,0,2,2,
CkjAksZstEA,0,0,0,2,4,2,
3ahg_eQZhxs,2,0,0,0,1,2,
1kny88W533Q,0,4,1,0,2,5,
lQCrA2TE-fo,0,0,0,2,4,2,
epX33OVpkmA,0,3,0,0,2,3,
k4lT-sXg3iI,0,3,0,0,2,3,
TOXg4-ZGb-g,0,0,0,3,4,3,
a5QCcwEjxAk,0,0,0,2,4,2,
cB-Xh8H_7-Q,1,0,0,0,1,1,
0qYNvMCEwaw,0,1,0,0,2,1,
9Yb9OEVwups,1,0,0,0,1,1,
rW1I58_lMEg,0,0,0,4,4,4,
bIx4DwkZxFY,3,0,0,0,1,3,
sA9ac1rod84,0,0,0,2,4,2,
3ZnxqCZ7qGg,0,2,1,0,2,3,
kMHiU0fhWVw,0,0,0,4,4,4,
FoTXpYZXxJs,0,0,0,2,4,2,
vBHoSz8cJIE,0,0,0,5,4,5,
BzqX-9TA-GY,0,2,1,0,2,3,
kfYaGryaGzI,0,0,0,2,4,2,
FyK_c-TIcCA,0,0,0,3,4,3,
sZe3IB1OVfw,2,0,0,0,1,2,
p2qihp_PnLY,0,0,2,0,3,2,
Xlv4PPGrRRs,0,0,0,2,4,2,
eGQUZ9FlUJ4,0,2,0,0,2,2,
PdwxeMPXOCk,3,0,0,0,1,3,
pNwQ9Tu_bCs,3,0,0,0,1,3,
ANZf1QXsNrY,6,2,0,0,1,8,
BaHHHgDd0BU,0,0,0,2,4,2,
6oLmO9ZSJt0,0,0,0,2,4,2,
kKFwiXKlhC8,0,2,0,0,2,2,
epMOLn5Axw0,0,0,1,0,3,1,
fey-8bOR95E,4,0,0,0,1,4,
Jn9r0avp0fY,4,0,0,0,1,4,
1Qc15G0ZHIg,3,0,0,1,1,4,
AjN_5CdVUdw,0,0,0,1,4,1,
Wy2-my19YnY,2,0,0,0,1,2,
XfA2KXodrOE,0,2,0,0,2,2,
aYe-2Glruu4,4,1,0,0,1,5,
sUJ4a74Skk8,1,0,0,0,1,1,
5NW0zDu6IYM,1,2,0,0,2,3,
QmK_SND2jAw,0,2,0,0,2,2,
FUAK5TBaNY8,0,1,3,0,3,4,
I2MrA-o5H8I,0,0,0,3,4,3,
wnB2cjd6zbE,1,0,0,0,1,1,
TYkTOwBfFB8,0,0,2,0,3,2,
qlbazHayULg,1,10,3,0,2,14,
Fc1qk52SaKY,2,0,0,0,1,2,
Uu-oRTRT6uQ,0,3,0,0,2,3,
jO2zX6Ul8GM,0,2,0,1,2,3,
pRuwHN-lI44,0,0,0,4,4,4,
AacIP9mDLw8,0,2,1,0,2,3,
iRu9KQvbtVw,0,0,1,0,3,1,
2Z9SjI131jA,14,0,0,2,1,16,
ezoAduuCkUs,0,1,0,0,2,1,
iGHgeUCPotc,0,0,0,1,4,1,
UTo7E0evQWw,0,1,0,0,2,1,
2v6gJi03LlA,0,0,2,0,3,2,
wqc8iqbDsGM,0,0,5,0,3,5,
Ury1cdB79s0,0,0,0,2,4,2,
vv6nrZ2myXw,5,0,0,0,1,5,
YhXRyOl5pi0,0,0,0,1,4,1,
1A9Hh2GrDTs,0,0,0,1,4,1,
yC0fAQxGgr0,0,0,0,2,4,2,
XC_SiJszQx0,1,1,0,2,4,4,
x4B0raxVODA,0,0,4,0,3,4,
QBJ6YYYpIyk,0,0,0,1,4,1,
uUtnyA6tLnI,0,0,0,1,4,1,
G4rL_OtfFAU,0,0,2,0,3,2,
12tDlCQVRtA,0,0,0,3,4,3,
5DqIntcmdRI,0,0,0,2,4,2,
8izVTDgBQPc,2,0,0,0,1,2,
veG92Oi-DlU,0,0,3,0,3,3,
cQp1BYDGcRo,0,2,0,0,2,2,
X1p8xcarVu0,0,0,4,0,3,4,
HY9vPoHbgaI,4,0,0,0,1,4,
xrhWli_R98g,2,0,0,2,1,4,
ltxNPJda7zE,0,0,1,4,4,5,
By3JCii1k3w,0,0,3,0,3,3,
pzeHffxmdcE,0,0,0,1,4,1,
9Xg69XrVaYU,0,0,3,0,3,3,
1EDThWjNxOI,0,2,0,0,2,2,
NzJjMGJg1wE,0,0,0,1,4,1,
YAAxPW1GB7w,0,0,0,2,4,2,
1cgO42sh-ZY,0,0,1,0,3,1,
eVMSeElk81Q,3,0,0,0,1,3,
vJ77eDxHezE,0,0,0,2,4,2,
78C_TpQDvVE,0,2,0,0,2,2,
D5kyjnlDNZs,0,3,0,0,2,3,
PXOWy7NiZhk,0,0,2,0,3,2,
jziI_cuN_H8,3,0,0,0,1,3,
gSwv8hZGM-s,2,0,0,0,1,2,
fOYX0uH8mSQ,0,0,0,1,4,1,
JMt4m608s3k,0,3,0,0,2,3,
Q49PWE0RJLY,0,0,0,2,4,2,
Xsn9zT-05ns,2,0,0,0,1,2,
QJlnTN7HRwE,0,0,4,0,3,4,
S7Bo4-NCEDk,0,3,0,0,2,3,
b8HVQtIoBYU,0,2,0,0,2,2,
hoPp_GLXQis,0,0,0,2,4,2,
2uLw9Zs60A4,0,1,0,0,2,1,
0v2N1ROvEI0,0,2,0,0,2,2,
_BK2o77sTc0,2,0,0,1,1,3,
0wRQRwnQiqY,0,0,1,0,3,1,
4ydjOX3pWds,2,0,0,0,1,2,
lTxVVdhFE6Q,0,0,0,2,4,2,
5CEAeMiXKaA,0,1,0,0,2,1,
MT2_mXn-vGU,0,0,0,3,4,3,
zvWX_dwQPtU,0,0,3,0,3,3,
3As1t6JySDE,0,0,0,1,4,1,
ZvD8QSO7NPw,0,0,3,0,3,3,
VCSDjQxAJzc,0,0,0,3,4,3,
xYZ8n8ULaNo,0,0,2,0,3,2,
6Uf9XBUD3wE,2,0,0,0,1,2,
8rupdevqfuI,3,0,0,0,1,3,
MbvPxCUMSek,0,0,3,0,3,3,
dCoUuknChhE,0,0,1,0,3,1,
JxSU49jFKwM,0,0,0,2,4,2,
2w5XkAt_3WU,0,0,0,1,4,1,
1fdxsFbnsX4,0,0,0,2,4,2,
mX-xs3OVhTs,2,0,0,0,1,2,
9eMxCs-LXCE,0,0,0,3,4,3,
lFznCt5kvXM,0,1,0,0,2,1,
nBao46YGZDg,0,0,1,0,3,1,
yZGBxiNPu3k,0,1,2,0,3,3,
cCfEDTkuMvg,0,0,1,0,3,1,
biROWEwkDQQ,1,0,0,3,4,4,
Q5b5unyP8BM,0,2,0,0,2,2,
v3Nl5rUxLqE,0,0,0,2,4,2,
xgtwQGeB6_0,0,0,0,1,4,1,
g15aRCHUJEI,0,0,0,3,4,3,
UAm0aWvzFI8,0,2,0,0,2,2,
60LLKmpgzRM,1,0,0,0,1,1,
e838BE_MH6s,4,0,0,1,1,5,
jrVXitpLGMk,0,3,0,0,2,3,
rDhbGjFlKF8,0,0,0,2,4,2,
uqRLEByE6pU,3,0,0,0,1,3,
prUUays30Mg,0,0,0,2,4,2,
PK8YIUaV3Xw,0,0,0,2,4,2,
_SJQaaRzD-A,2,0,0,0,1,2,
gvWDOIiocuE,0,1,2,0,3,3,
4Er-eFHSHA4,0,0,4,0,3,4,
8TYY0qG-KOw,0,1,0,1,2,2,
7n32BtYb4d4,0,4,0,0,2,4,
9v2WSpn4FCw,6,8,0,1,2,15,
DhnX54kOW8U,0,1,0,0,2,1,
BIRDDxz0E4c,0,0,1,1,3,2,
_vZOEQCYSaY,0,1,2,0,3,3,
1TAKQK3s6qQ,0,1,0,0,2,1,
gwmVjvR-sVs,2,0,0,1,1,3,
